Phyla,AveCercozoa,AveChlorophyta,AveChromerida,AveCryptophyta,AveEuglenophyta,AveHaptophyta,AveMiozoa,AveOchrophyta,AvePelagophyta,AveRhodophyta,AveStreptophyta
vFam_4026,1,0.1739130435,0,0.5,0,0.7777777778,0.09090909091,0.3095238095,0,0.7142857143,0
vFam_5447,0.6666666667,0.115942029,0,0,1,0.4444444444,0.1818181818,0.1904761905,0,0.7142857143,0
vFam_4328,0,0.231884058,0,0,0,0.2222222222,0,0.1666666667,0,0.7142857143,0
vFam_1361,0,0,0,0,0,0,0,0,0,0.7142857143,0
vFam_517,0,0.2753623188,0,1,0,0.2222222222,0,2.142857143,3,0.5714285714,0
vFam_5826,0.6666666667,0.1594202899,0,0,0,0.1111111111,0,0.8333333333,2,0.5714285714,0
vFam_6324,6,2.565217391,1,1,0,0.4444444444,0.5454545455,2.976190476,1,0.5714285714,0
vFam_2543,0.6666666667,0.5217391304,0,0.75,0,0.6666666667,0.2727272727,0.7142857143,1,0.5714285714,0
vFam_4311,0,0.04347826087,0,0,0,0.4444444444,0.09090909091,0.1904761905,1,0.5714285714,0
vFam_5561,1,0.4637681159,0,0,0,0.3333333333,0,0.880952381,0,0.5714285714,0
vFam_6296,0,0.1739130435,0,0,0,0.2222222222,0.09090909091,0.6428571429,0,0.5714285714,0
vFam_3284,0,0.2463768116,0,0,0,0.1111111111,0.09090909091,0.4761904762,0,0.5714285714,0
vFam_2157,0,0,0,0,0,0,0,0,0,0.5714285714,0
vFam_1213,0,0.4202898551,0,2,0,1.222222222,0,0.3095238095,2,0.4285714286,0
vFam_4529,0,0.4637681159,0,1,0,0.2222222222,0.3636363636,0.6904761905,1,0.4285714286,0
vFam_2440,0.3333333333,1,0,0,0,0.3333333333,0.2727272727,1.642857143,0,0.4285714286,0
vFam_2316,0,1.057971014,2,1,0,0.2222222222,0.09090909091,0.9047619048,0,0.4285714286,0
vFam_1811,0.3333333333,0.05797101449,0,0.5,0.5,0,0.2727272727,0.7142857143,0,0.4285714286,0
vFam_543,0,0.1884057971,0,0,0,0.3333333333,0.6363636364,0.2619047619,0,0.4285714286,0
vFam_4897,0,0.07246376812,0,0.5,0,0.2222222222,0.1818181818,0.1904761905,0,0.4285714286,0
vFam_2707,0,0.3043478261,0,0,0,0.2222222222,0.1818181818,0.1666666667,0,0.4285714286,0
vFam_1227,0,0.08695652174,0,0.75,0,0.8888888889,0.09090909091,0.09523809524,0,0.4285714286,0
vFam_3603,0,0.5072463768,1,0,0,0.2222222222,0.09090909091,0.07142857143,0,0.4285714286,0
vFam_4433,0,0,0,0,0,0,0,0.07142857143,0,0.4285714286,0
vFam_4041,0,0.2753623188,0,0.25,0,0,0.09090909091,0,0,0.4285714286,0
vFam_1752,0,0,0,0,0,0,0,0,0,0.4285714286,0
vFam_508,1.333333333,1,0,1.25,0,0.7777777778,0.9090909091,1.928571429,2,0.2857142857,0
vFam_4614,0,0.231884058,0,0,0,1,0.09090909091,1.357142857,2,0.2857142857,0
vFam_139,0.6666666667,0.7971014493,0,0,0,2.444444444,0.3636363636,0.7380952381,2,0.2857142857,0
vFam_1812,0.6666666667,0.231884058,0,1,0,0.1111111111,0,2.714285714,1,0.2857142857,0
vFam_5448,3,1.043478261,0,0,0.5,1.111111111,0.6363636364,0.9761904762,1,0.2857142857,0
vFam_2217,3,0.5072463768,4,2,0,0.7777777778,0.8181818182,1,0,0.2857142857,0
vFam_3450,0,0.2028985507,0,0,0,0.2222222222,0,0.5714285714,0,0.2857142857,0
vFam_3916,0,0.1449275362,0,0,0,0.1111111111,0.09090909091,0.5238095238,0,0.2857142857,0
vFam_1583,0,0.8405797101,0,0.25,0,2.222222222,0,0.5238095238,0,0.2857142857,0
vFam_2717,0.6666666667,0.231884058,0,0.5,0,0,0,0.2142857143,0,0.2857142857,0
vFam_407,0,0.05797101449,0,0,0,0,0,0.1904761905,0,0.2857142857,0
vFam_594,0,0.5217391304,0,4.25,0,0.6666666667,0.09090909091,0.1428571429,0,0.2857142857,0
vFam_704,0,0.884057971,0,1,0,0.7777777778,1.181818182,0.07142857143,0,0.2857142857,0
vFam_6593,0,0.1739130435,0,0,0,0.6666666667,0,0.07142857143,0,0.2857142857,0
vFam_2258,0,0.1449275362,0,0,0,0.2222222222,0,0.04761904762,0,0.2857142857,0
vFam_5285,0,0.04347826087,0,0,0,0,0,0,0,0.2857142857,0
vFam_1128,0,0.01449275362,0,0,0,0,0,0,0,0.2857142857,0
